Family	!	Scientific Name	Author	Reference	Date
"Fagaceae"	""	"Quercus crispifolia"	"Trel."	"Mem. Natl. Acad. Sci. 20: 147, pl. 286"	"1924"
"Fagaceae"	"!"	"Quercus elliptica"	"Née"	"Anales Ci. Nat. 3(9): 278"	"1801"
"Fagaceae"	""	"Quercus insignis"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 10(1): 219"	"1843"
"Fagaceae"	"!"	"Quercus lancifolia"	"Schltdl. & Cham."	"Linnaea 5: 78"	"1830"
"Fagaceae"	"!"	"Quercus laurina"	"Bonpl."	"Pl. Aequinoct. 2: 32, pl. 80"	"1809"
"Fagaceae"	""	"Quercus peduncularis"	"Née"	"Anales Ci. Nat. 3: 270"	"1801"
"Fagaceae"	""	"Quercus purulhana"	"Trel."	"Mem. Natl. Acad. Sci. 20: 63, pl. 64"	"1924"
"Fagaceae"	"!"	"Quercus salicifolia"	"Née"	"Anales Ci. Nat. 3: 265"	"1801"
"Fagaceae"	""	"Quercus sapotifolia"	"Liebm."	"Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 185"	"1854"
"Fagaceae"	""	"Quercus segoviensis"	"Liebm."	"Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 186"	"1854"
"Fagaceae"	"!"	"Quercus skinneri"	"Benth."	"Gard. Chron. 1841: 116"	"1841"
"Fagaceae"	"!"	"Quercus tristis"	"Liebm."	"Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 174"	"1854"
"Fagaceae"	""	"Quercus vicentensis"	"Trel."	"Mem. Natl. Acad. Sci. 20: 59"	"1924"
"Fagaceae"	""	"Quercus xalapensis"	"Bonpl."	"Pl. Aequinoct. 2: 24, pl. 75"	"1809"
"Celastraceae"	""	"Quetzalia ilicina"	"(Standl. & Steyerm.) Lundell"	"Wrightia 4(4): 138"	"1970"
"Celastraceae"	""	"Quetzalia occidentalis"	"(Loes. ex Donn. Sm.) Lundell"	"Wrightia 4(4): 138"	"1970"
"Dioscoreaceae"	"!"	"Rajania"	"L."	"Sp. Pl. 1: 1032"	"1753"
