Family	!	Scientific Name	Author	Reference	Date
"Asparagaceae"	""	"Smilacina amoena"	"H.L. Wendl."	"Allg. Gartenzeitung 18: 137"	"1850"
"Asparagaceae"	"!"	"Smilacina flexuosa"	"Bertol."	"Novi Comment. Acad. Sci. Inst. Bononiensis 4: 411–412, t. 39"	"1840"
"Asparagaceae"	""	"Smilacina flexuosa var. erubescens"	"Emons"	"Ann. Missouri Bot. Gard. 32(4): 405"	"1945"
"Asparagaceae"	""	"Smilacina paniculata"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 9(2): 388"	"1842"
"Asparagaceae"	""	"Smilacina scilloidea"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 9(2): 388"	"1842"
"Asparagaceae"	""	"Smilacina scilloidea var. rosea"	"Emons"	"Ann. Missouri Bot. Gard. 32: 406"	"1945"
"Smilacaceae"	""	"Smilax"	"L."	"Sp. Pl. 2: 1028"	"1753"
"Smilacaceae"	""	"Smilax aristolochiifolia"	"Mill."	"Gard. Dict. (ed. 8) no. 7"	"1768"
"Smilacaceae"	"!"	"Smilax domingensis"	"Willd."	"Sp. Pl. 4(2): 783"	"1806"
"Smilacaceae"	""	"Smilax jalapensis"	"Schltdl."	"Linnaea 18: 451"	"1844 [1845]"
"Smilacaceae"	""	"Smilax lundellii"	"Killip & C.V. Morton"	"Publ. Carnegie Inst. Wash. 461(12): 265, t. 2"	"1936"
"Smilacaceae"	""	"Smilax mollis"	"Humb. & Bonpl. ex Willd."	"Sp. Pl. 4: 785"	"1806"
"Smilacaceae"	""	"Smilax moranensis"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 9(2): 389"	"1842"
"Smilacaceae"	""	"Smilax munda"	"Killip & C.V. Morton"	"Publ. Carnegie Inst. Wash. 461: 265, t. 3"	"1936"
"Smilacaceae"	""	"Smilax officinalis"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 271"	"1815 [1816]"
"Smilacaceae"	"!"	"Smilax ornata"	"Lem."	"Ill. Hort. 12: t. 439"	"1865"
"Smilacaceae"	""	"Smilax panamensis"	"Morong"	"Bull. Torrey Bot. Club 21: 441"	"1894"
"Smilacaceae"	""	"Smilax regelii"	"Killip & C.V. Morton"	"Publ. Carnegie Inst. Wash. 461(12): 272"	"1936"
"Smilacaceae"	"!"	"Smilax spinosa"	"Mill."	"Gard. Dict. (ed. 8) no. 8"	"1768"
"Smilacaceae"	""	"Smilax subpubescens"	"A. DC."	"Monogr. Phan. 1: 69"	"1878"
"Smilacaceae"	""	"Smilax vanilliodora"	"F.W. Apt"	"Repert. Spec. Nov. Regni Veg. 18: 416"	"1922"
"Smilacaceae"	""	"Smilax velutina"	"Killip & C.V. Morton"	"Publ. Carnegie Inst. Wash. 461(12): 283"	"1936"
"Orchidaceae"	"!!"	"Sobralia"	"Ruiz & Pav."	"Fl. Peruv. Prodr. 120"	"1794"
"Orchidaceae"	""	"Sobralia amabilis"	"(Rchb. f.) L.O. Williams"	"Ann. Missouri Bot. Gard. 33(1): 30"	"1946"
"Orchidaceae"	"!"	"Sobralia decora"	"Bateman"	"Orchid. Mexico & Guatemala , t. 26"	"1841"
"Orchidaceae"	""	"Sobralia fragrans"	"Lindl."	"Gard. Chron. 598"	"1853"
"Orchidaceae"	""	"Sobralia galeottiana"	"A. Rich."	"Ann. Sci. Nat., Bot., sér. 3, 3: 30"	"1845"
"Orchidaceae"	""	"Sobralia gnoma"	"Archila, Chiron & Szlach."	"Richardiana 15: 239–241, f. 1, 2a–e"	"2014 [2015]"
"Orchidaceae"	""	"Sobralia leucoxantha"	"Rchb. f."	"Beitr. Orchid.-K. C. Amer. 68"	"1866"
"Orchidaceae"	"!"	"Sobralia macdougallii"	"Soto Arenas, Pérez-García & Salazar"	"Icon. Orchid. 5–6: [360], t. 668"	"2003"
"Orchidaceae"	""	"Sobralia macrantha"	"Lindl."	"Sert. Orchid. sub pl. 29"	"1838 [1839]"
"Orchidaceae"	""	"Sobralia mucronata"	"Ames & C. Schweinf."	"Sched. Orch. 8: 54–55"	"1925"
"Orchidaceae"	""	"Sobralia stefaniae"	"Archila, Chiron & Szlach."	"Richardiana 14: 208–212, f. 1A–F, 2–4"	"2014"
"Orchidaceae"	""	"Sobralia warszewiczii"	"Rchb. f."	"Bot. Zeitung (Berlin) 10: 714"	"1852"
"Orchidaceae"	"!"	"Sobralia wilsoniana"	"Rolfe"	"Gard. Chron., ser. 3 8: 378–379"	"1890"
"Orchidaceae"	""	"Sobralia xantholeuca"	"hort. ex B.S. Williams"	"Orch.-Grow. Man. (ed. 6) 576"	"1885"
"Solanaceae"	"!"	"Solandra grandiflora"	"Sw."	"Kongl. Vetensk. Acad. Nya Handl. 8: 303–306, t. 11"	"1787"
"Solanaceae"	""	"Solandra maxima"	"(Sessé & Moc.) P.S. Green"	"Bot. Mag. 176(3): t. 506"	"1967"
"Solanaceae"	"!"	"Solanum"	"L."	"Sp. Pl. 1: 184"	"1753"
"Solanaceae"	""	"Solanum acerifolium"	"Dunal"	"Solan. Syn. 41"	"1816"
"Solanaceae"	""	"Solanum adhaerens"	"Willd."	"Syst. Veg. (ed. 15 bis) 4: 669"	"1819"
