Family	!	Scientific Name	Author	Reference	Date
"Apocynaceae"	"!"	"Tabernaemontana donnell-smithii"	"Rose"	"Bot. Gaz. 18(6): 206–207"	"1893"
"Araceae"	""	"Taccarum peregrinum"	"(Schott) Engl."	"Monogr. Phan. 2: 646–647"	"1879"
"Asteraceae"	"!"	"Tagetes"	"L."	"Sp. Pl. 2: 887"	"1753"
"Asteraceae"	"!"	"Tagetes erecta"	"L."	"Sp. Pl. 2: 887"	"1753"
"Magnoliaceae"	""	"Talauma"	"Juss."	"Gen. Pl. 281"	"1789"
"Malvaceae"	""	"Talipariti tiliaceum"	"(L.) Fryxell"	"Contr. Univ. Michigan Herb. 23: 258"	"2001"
"Verbenaceae"	"!"	"Tamonea"	"Aubl."	"Hist. Pl. Guiane 2: 659–660"	"1775"
"Verbenaceae"	""	"Tamonea spicata"	"Aubl."	"Hist. Pl. Guiane 2: 660, t. 268"	"1775"
"Bignoniaceae"	""	"Tanaecium caudiculatum"	"(Standl.) L.G. Lohmann"	"Ann. Missouri Bot. Gard. 99(3): 464"	"2014"
"Bignoniaceae"	""	"Tanaecium tetragonolobum"	"(Jacq.) L.G. Lohmann"	"Nuevo Cat. Fl. Vasc. Venez. 274"	"2008"
"Anacardiaceae"	""	"Tapirira guianensis"	"Aubl."	"Hist. Pl. Guiane 1: 470, t. 188"	"1775"
"Anacardiaceae"	""	"Tapirira mexicana"	"Marchand"	"Rév. Anacardiac. 162–163"	"1869"
"Apocynaceae"	""	"Tassadia obovata"	"Decne."	"Prodr. 8: 579–580"	"1844"
"Bignoniaceae"	""	"Tecoma stans"	"(L.) Juss. ex Kunth"	"Nov. Gen. Sp. (quarto ed.) 3: 144"	"1818 [1819]"
"Tectariaceae"	"!"	"Tectaria"	"Cav."	"Anales Hist. Nat. 1(2): 115"	"1799"
"Tectariaceae"	""	"Tectaria heracleifolia"	"(Willd.) Underw."	"Bull. Torrey Bot. Club 33(3): 200"	"1906"
"Tectariaceae"	""	"Tectaria incisa"	"Cav."	"Descr. Pl. 249"	"1802"
"Tectariaceae"	""	"Tectaria lizarzaburui"	"(Sodiro) C. Chr."	"Index Filic., Suppl. 3, 181"	"1934"
"Tectariaceae"	""	"Tectaria mexicana"	"(Fée) C.V. Morton"	"Amer. Fern J. 56(3): 133"	"1966"
"Tectariaceae"	""	"Tectaria nicotianifolia"	"(Baker) C. Chr."	"Index Filic., Suppl. 3, 182"	"1934"
"Tectariaceae"	""	"Tectaria panamensis"	"(Hook.) R.M. Tryon & A.F. Tryon"	"Rhodora 83(833): 136"	"1981"
"Tectariaceae"	""	"Tectaria rivalis"	"(Mett.) C. Chr."	"Index Filic., Suppl. 3, 184"	"1934"
"Tectariaceae"	""	"Tectaria sodiroi"	"(Baker) Maxon"	"Proc. Biol. Soc. Washington 43: 88"	"1930"
"Tectariaceae"	""	"Tectaria trifoliata"	"(L.) Cav."	"Descr. Pl. 249"	"1802"
"Tectariaceae"	""	"Tectaria vivipara"	"Jermy & T.G. Walker"	"Bull. Brit. Mus. (Nat. Hist.), Bot. 13(2): 274, f. 15"	"1985"
"Asteraceae"	""	"Telanthophora"	"H. Rob. & Brettell"	"Phytologia 27(6): 424"	"1974"
"Asteraceae"	""	"Telanthophora bartlettii"	"H. Rob. & Brettell"	"Phytologia 27(6): 426"	"1974"
"Asteraceae"	""	"Telanthophora cobanensis"	"(J.M. Coult.) H. Rob. & Brettell"	"Phytologia 27(6): 427"	"1974"
"Acanthaceae"	""	"Teliostachya alopecuroidea"	"(Vahl) Nees"	"Fl. Bras. 9: 72–73"	"1847"
"Fabaceae"	"!!"	"Tephrosia"	"Pers."	"Syn. Pl. 2(2): 328"	"1807"
"Fabaceae"	""	"Tephrosia belizensis"	"Lundell"	"Bull. Torrey Bot. Club 64(8): 550–551"	"1937"
"Fabaceae"	"!"	"Tephrosia multifolia"	"Rose"	"Contr. U.S. Natl. Herb. 1(9): 320"	"1895"
"Fabaceae"	"!"	"Tephrosia nitens"	"Benth."	"Bot. Voy. Herald , t. 19"	"1852"
"Fabaceae"	""	"Tephrosia rhodantha"	"Brandegee"	"Zoë 5(10): 201"	"1905"
"Fabaceae"	""	"Tephrosia senna"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 6: 458–459"	"1823 [1824]"
"Fabaceae"	""	"Tephrosia sinapou"	"(Buc'hoz) A. Chev."	"Compt. Rend. Hebd. Séances Acad. Sci. 180: 1522"	"1925"
"Fabaceae"	"!"	"Teramnus"	"P. Browne"	"Civ. Nat. Hist. Jamaica 290"	"1756"
"Fabaceae"	"!"	"Teramnus labialis"	"(L. f.) Spreng."	"Syst. Veg. [Sprengel] 3: 235"	"1826"
"Combretaceae"	"!!"	"Terminalia"	"L."	"Syst. Nat. (ed. 12) 2: 665, 674"	"1767"
"Combretaceae"	""	"Terminalia amazonia"	"(J.F. Gmel.) Exell"	"Fl. Suriname 3(1): 173"	"1935"
"Combretaceae"	"!"	"Terminalia buceras"	"(L.) C. Wright"	"Anales Acad. Ci. Méd. Fís. Nat. Habana 5: 410"	"1869"
"Combretaceae"	"!"	"Terminalia bucidoides"	"Standl. & L.O. Williams"	"Ceiba 3(3): 214"	"1953"
"Combretaceae"	""	"Terminalia macrostachya"	"(Standl.) Alwan & Stace"	"Fl. Neotrop. Monogr. 107: 250–252, f. 107"	"2010"
"Combretaceae"	""	"Terminalia molinetii"	"M. Gómez"	"Anales Soc. Esp. Hist. Nat. 19(2): 244"	"1890"
"Combretaceae"	"!"	"Terminalia oblonga"	"(Ruiz & Pav.) Steud."	"Nomencl. Bot. (ed. 2) 2: 668"	"1841"
"Pentaphylacaceae"	""	"Ternstroemia"	"Mutis ex L. f."	"Suppl. Pl. 39, 264"	"1781 [1782]"
"Pentaphylacaceae"	""	"Ternstroemia sylvatica"	"Schltdl. & Cham."	"Linnaea 5: 220"	"1830"
"Pentaphylacaceae"	""	"Ternstroemia tepezapote"	"Schltdl. & Cham."	"Linnaea 6: 420–421"	"1831"
"Polypodiaceae"	""	"Terpsichore"	"A.R. Sm."	"Novon 3(4): 479"	"1993"
"Polypodiaceae"	""	"Terpsichore asplenifolia"	"(L.) A.R. Sm."	"Novon 3(4): 485, 479"	"1993"
"Polypodiaceae"	""	"Terpsichore lehmanniana"	"(Hieron.) A.R. Sm."	"Novon 3(4): 487"	"1993"
"Dilleniaceae"	""	"Tetracera belizensis"	"Lundell"	"Contr. Univ. Michigan Herb. 6: 44"	"1941"
"Dilleniaceae"	"!"	"Tetracera hydrophila"	"Triana & Planch."	"Ann. Sci. Nat., Bot., sér. 4, 17: 20–21"	"1862"
"Dilleniaceae"	""	"Tetracera sessiliflora"	"Triana & Planch."	"Ann. Sci. Nat., Bot., sér. 4, 17: 21–22"	"1862"
"Dilleniaceae"	"!"	"Tetracera volubilis"	"L."	"Sp. Pl. 1: 533"	"1753"
"Dilleniaceae"	""	"Tetracera willdenowiana"	"Steud."	"Nomencl. Bot. (ed. 2) 2: 670"	"1841"
"Burseraceae"	""	"Tetragastris panamensis"	"(Engl.) Kuntze"	"Revis. Gen. Pl. 1: 107"	"1891"
"Burseraceae"	""	"Tetragastris stevensonii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 4(8): 216–217"	"1929"
"Acanthaceae"	"!!"	"Tetramerium"	"Nees"	"Bot. Voy. Sulphur pl. 48"	"1844 [1845]"
"Plantaginaceae"	""	"Tetranema roseum"	"(M. Martens & Galeotti) Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(5): 235"	"1947"
