Family	!	Scientific Name	Author	Reference	Date
"Vitaceae"	"!!"	"Vitaceae"	"Juss."	"Gen. Pl. 267"	"1789"
"Zamiaceae"	""	"Zamiaceae"	"Horan."	"Prim. Lin. Syst. Nat. 45"	"1834"
"Zingiberaceae"	"!!"	"Zingiberaceae"	"Martinov"	"Tekhno-Bot. Slovar. 682"	"1820"
"Zygophyllaceae"	"!!"	"Zygophyllaceae"	"R. Br."	"Voy. Terra Austral. 2: 545"	"1814"
"Caprifoliaceae"	"!"	"Abelia"	"R. Br."	"Narr. Journey China 376"	"1818"
"Pinaceae"	"!"	"Abies"	"Mill."	"Gard. Dict. Abr. (ed. 4) vol. 1"	"1754"
"Pinaceae"	""	"Abies amabilis"	"Douglas ex J. Forbes"	"Pinet. Woburn. 125, pl. 44"	"1839"
"Pinaceae"	""	"Abies balsamea"	"(L.) Mill."	"Gard. Dict. (ed. 8) no. 3"	"1768"
"Pinaceae"	""	"Abies bifolia"	"A. Murray"	"Proc. Roy. Hort. Soc. London 3: 320"	"1863"
"Pinaceae"	""	"Abies bracteata"	"(D. Don) Poit."	"Rev. Hort. (Paris) 4: 7"	"1845"
"Pinaceae"	""	"Abies concolor"	"(Gordon & Glend.) Lindl. ex Hildebr."	"Verh. Naturhist. Vereines Preuss. Rheinl. Westphalens 18: 261"	"1861"
"Pinaceae"	""	"Abies fraseri"	"(Pursh) Poir."	"Encycl., Suppl. 5(1): 35"	"1817"
"Pinaceae"	"!"	"Abies grandis"	"(Douglas ex D. Don) Lindl."	"Penny Cyclop. 1: 30"	"1833"
"Pinaceae"	""	"Abies lasiocarpa"	"(Hook.) Nutt."	"N. Amer. Sylv. 3: 138"	"1849"
"Pinaceae"	""	"Abies lowiana"	"(Gordon) A. Murray"	"Proc. Roy. Hort. Soc. London 3: 317"	"1863"
"Pinaceae"	""	"Abies magnifica"	"A. Murray"	"Proc. Roy. Hort. Soc. London 3: 318"	"1863"
"Pinaceae"	""	"Abies procera"	"Rehder"	"Rhodora 42(504): 522"	"1940"
"Cyperaceae"	""	"Abildgaardia"	"Vahl"	"Enum. Pl. 2: 296"	"1805"
"Cyperaceae"	""	"Abildgaardia ovata"	"(Burm. f.) Kral"	"Sida 4(2): 72–73, f. 2"	"1971"
"Nyctaginaceae"	""	"Abronia"	"Juss."	"Gen. Pl. 448–449"	"1789"
"Nyctaginaceae"	""	"Abronia alpina"	"Brandegee"	"Bot. Gaz. 27(6): 456"	"1899"
"Nyctaginaceae"	""	"Abronia ameliae"	"Lundell"	"Wrightia 1(1): 54–55"	"1945"
"Nyctaginaceae"	""	"Abronia angustifolia"	"Greene"	"Pittonia 3(19C): 344"	"1898"
"Nyctaginaceae"	""	"Abronia argillosa"	"S.L. Welsh & Goodrich"	"Great Basin Naturalist 40(1): 78–80, f. 1"	"1980"
"Nyctaginaceae"	""	"Abronia bigelovii"	"Heimerl"	"Smithsonian Misc. Collect. 52(2): 197"	"1909"
"Nyctaginaceae"	""	"Abronia bolackii"	"N.D. Atwood, S.L. Welsh & K.D. Heil"	"Novon 12(2): 167–169, f. 1–2"	"2002"
"Nyctaginaceae"	""	"Abronia carletonii"	"J.M. Coult. & Fisher"	"Bot. Gaz. 17(11): 349"	"1892"
"Nyctaginaceae"	""	"Abronia elliptica"	"A. Nelson"	"Bull. Torrey Bot. Club 26(1): 7"	"1899"
"Nyctaginaceae"	""	"Abronia fragrans"	"Nutt. ex Hook."	"Hooker's J. Bot. Kew Gard. Misc. 5: 261"	"1853"
"Nyctaginaceae"	""	"Abronia gracilis"	"Benth."	"Bot. Voy. Sulphur 44"	"1844"
"Nyctaginaceae"	""	"Abronia latifolia"	"Eschsch."	"Mém. Acad. Imp. Sci. St. Pétersbourg Hist. Acad. 10: 281"	"1826"
"Nyctaginaceae"	""	"Abronia macrocarpa"	"L.A. Galloway"	"Brittonia 24(2): 148–149, f. 1"	"1972"
"Nyctaginaceae"	""	"Abronia maritima"	"Nutt. ex S. Watson"	"Bot. California 2: 4"	"1880"
"Nyctaginaceae"	""	"Abronia mellifera"	"Douglas ex Hook."	"Bot. Mag. 56: pl. 2879"	"1829"
"Nyctaginaceae"	""	"Abronia nana"	"S. Watson"	"Proc. Amer. Acad. Arts 14: 294"	"1879"
"Nyctaginaceae"	""	"Abronia pogonantha"	"Heimerl"	"Bot. Jahrb. Syst. 11(1): 87–88, pl. 2, f. 4"	"1889"
"Nyctaginaceae"	""	"Abronia turbinata"	"Torr. ex S. Watson"	"Botany (Fortieth Parallel) 285, pl. 31, f. 1–5, 8–9"	"1871"
"Nyctaginaceae"	""	"Abronia umbellata"	"Lam."	"Tabl. Encycl. 1(2[2]): 469, pl. 105 [upper right]"	"1791 [1793]"
"Nyctaginaceae"	""	"Abronia villosa"	"S. Watson"	"Amer. Naturalist 7(5): 302"	"1873"
"Fabaceae"	"!"	"Abrus"	"Adans."	"Fam. Pl. 2: 327, 511"	"1763"
"Menispermaceae"	""	"Abuta grandifolia"	"(Mart.) Sandwith"	"Bull. Misc. Inform. Kew 1937: 397"	"1937"
"Malvaceae"	"!"	"Abutilon"	"Mill."	"Gard. Dict. Abr. (ed. 4) [23]"	"1754"
"Malvaceae"	"!"	"Abutilon abutiloides"	"(Jacq.) Garcke"	"Bot. Jahrb. Syst. 15: 485"	"1893"
"Malvaceae"	""	"Abutilon berlandieri"	"A. Gray ex S. Watson"	"Proc. Amer. Acad. Arts 20: 358"	"1885"
"Malvaceae"	""	"Abutilon fruticosum"	"Guill. & Perr."	"Fl. Seneg. Tent. 1: 70–71"	"1831"
"Malvaceae"	"!"	"Abutilon glabriflorum"	"Hochr."	"Annuaire Conserv. Jard. Bot. Genève 21: 439–441"	"1920"
"Malvaceae"	""	"Abutilon grandifolium"	"(Willd.) Sweet"	"Hort. Brit. 53"	"1826"
"Malvaceae"	"!"	"Abutilon hirsutum"	"(Vell.) K. Schum."	"Fl. Bras. 12(3): 437"	"1891"
"Malvaceae"	"!"	"Abutilon hulseanum"	"(Torr. & A. Gray) Torr. ex A. Gray"	"Mem. Amer. Acad. Arts, n.s. 4(1): 23"	"1849"
"Malvaceae"	""	"Abutilon hypoleucum"	"A. Gray"	"Smithsonian Contr. Knowl. 3(5): 20"	"1852"
"Malvaceae"	""	"Abutilon incanum"	"(Link) Sweet"	"Hort. Brit. 1: 53"	"1826"
"Malvaceae"	"!"	"Abutilon indicum"	"(L.) Sweet"	"Hort. Brit. 1: 54"	"1826"
"Malvaceae"	""	"Abutilon malacum"	"S. Watson"	"Proc. Amer. Acad. Arts 21(2): 446–447"	"1886"
"Malvaceae"	""	"Abutilon mollicomum"	"(Willd.) Sweet"	"Hort. Brit. 1: 54"	"1826"
"Malvaceae"	""	"Abutilon palmeri"	"A. Gray"	"Proc. Amer. Acad. Arts 8: 289"	"1870"
"Malvaceae"	""	"Abutilon parishii"	"S. Watson"	"Proc. Amer. Acad. Arts 20: 357"	"1885"
