Family	!	Scientific Name	Author	Reference	Date
"Rubiaceae"	"!"	"Chomelia spinosa"	"Jacq."	"Enum. Syst. Pl. 12"	"1760"
"Rubiaceae"	"!"	"Chomelia tenuiflora"	"Benth."	"J. Bot. (Hooker) 3: 235"	"1841"
"Rubiaceae"	""	"Chomelia venulosa"	"W.C. Burger & C.M. Taylor"	"Fieldiana, Bot., n.s. 33: 101, f. 34"	"1993"
"Menispermaceae"	"!"	"Chondrodendron tomentosum"	"Ruiz & Pav."	"Syst. Veg. Fl. Peruv. Chil. 261"	"1798"
"Orchidaceae"	""	"Chondrorhyncha lendyana"	"Rchb. f."	"Gard. Chron., n.s. 26(656): 103"	"1886"
"Orchidaceae"	""	"Chondroscaphe"	"(Dressler) Senghas & G. Gerlach"	"Orchideen (ed. 3) 1B(27): 1655"	"1993"
"Orchidaceae"	""	"Chondroscaphe atrilinguis"	"Dressler"	"Orquideología 22(1): 16–19, photos"	"2001"
"Orchidaceae"	""	"Chondroscaphe bicolor"	"(Rolfe) Dressler"	"Orquideología 22(1): 22"	"2001"
"Orchidaceae"	""	"Chondroscaphe chestertonii"	"(Rchb. f.) Senghas & G. Gerlach"	"Orchideen (ed. 3) 1/B(27): 1657"	"1993"
"Orchidaceae"	""	"Chondroscaphe eburnea"	"(Dressler) Dressler"	"Orquideología 22(1): 22"	"2001"
"Cyclanthaceae"	""	"Chorigyne"	"R. Erikss."	"Nordic J. Bot. 9(1): 33"	"1989"
"Cyclanthaceae"	""	"Chorigyne cylindrica"	"R. Erikss."	"Nordic J. Bot. 9(1): 44, f. 10"	"1989"
"Cyclanthaceae"	""	"Chorigyne densiflora"	"R. Erikss."	"Nordic J. Bot. 9(1): 35, f. 4A–E"	"1989"
"Cyclanthaceae"	""	"Chorigyne ensiformis"	"(Hook. f.) R. Erikss."	"Nordic J. Bot. 9(1): 37"	"1989"
"Cyclanthaceae"	""	"Chorigyne paucinervis"	"R. Erikss."	"Nordic J. Bot. 9(1): 40, f. 8E–G"	"1989"
"Cyclanthaceae"	""	"Chorigyne pendula"	"(Hammel) R. Erikss."	"Nordic J. Bot. 9(1): 39"	"1989"
"Cyclanthaceae"	""	"Chorigyne pterophylla"	"R. Erikss."	"Nordic J. Bot. 9(1): 40, f. 4F–G"	"1989"
"Cyclanthaceae"	""	"Chorigyne tumescens"	"R. Erikss."	"Nordic J. Bot. 9(1): 44, f. 8A–D"	"1989"
"Orchidaceae"	""	"Christensonella"	"Szlach., Mytnik, Górniak & Śmiszek"	"Polish Bot. J. 51(1): 57–58"	"2006"
"Malpighiaceae"	""	"Christianella mesoamericana"	"(W.R. Anderson) W.R. Anderson"	"Novon 16(2): 191"	"2006"
"Asteraceae"	"!"	"Chromolaena"	"DC."	"Prodr. 5: 133"	"1836"
"Asteraceae"	""	"Chromolaena collina"	"(DC.) R.M. King & H. Rob."	"Phytologia 20(3): 208"	"1970"
"Asteraceae"	""	"Chromolaena ivifolia"	"(L.) R.M. King & H. Rob."	"Phytologia 20(3): 202"	"1970"
"Asteraceae"	""	"Chromolaena laevigata"	"(Lam.) R.M. King & H. Rob."	"Phytologia 20(3): 202"	"1970"
"Asteraceae"	"!"	"Chromolaena odorata"	"(L.) R.M. King & H. Rob."	"Phytologia 20(3): 204"	"1970"
"Asteraceae"	""	"Chrysanthellum"	"Rich."	"Syn. Pl. 2: 471"	"1807"
"Asteraceae"	"!"	"Chrysanthellum americanum"	"(L.) Vatke"	"Abh. Naturwiss. Vereins Bremen 9(2): 122"	"1887 [1885]"
"Asteraceae"	""	"Chrysanthellum integrifolium"	"Steetz"	"Bot. Voy. Herald 160"	"1854"
"Asteraceae"	"!!"	"Chrysanthemum"	"L."	"Sp. Pl. 2: 887"	"1753"
"Chrysobalanaceae"	"!"	"Chrysobalanus icaco"	"L."	"Sp. Pl. 1: 513"	"1753"
"Clusiaceae"	""	"Chrysochlamys"	"Poepp."	"Nov. Gen. Sp. Pl. 3: 13"	"1842"
"Clusiaceae"	""	"Chrysochlamys allenii"	"(Maguire) Hammel"	"Novon 9(3): 363"	"1999"
"Clusiaceae"	""	"Chrysochlamys angustifolia"	"(Maguire) Hammel"	"Novon 9(3): 363"	"1999"
"Clusiaceae"	""	"Chrysochlamys eclipes"	"L.O. Williams"	"Trop. Woods 111: 15"	"1959"
"Clusiaceae"	""	"Chrysochlamys floribunda"	"Cuatrec."	"Revista Acad. Colomb. Ci. Exact. 8: 58"	"1950"
"Clusiaceae"	""	"Chrysochlamys glauca"	"(Oerst., Planch. & Triana) Hemsl."	"Biol. Cent.-Amer., Bot. 1(1): 87"	"1879"
"Clusiaceae"	""	"Chrysochlamys grandifolia"	"(L.O. Williams) Hammel"	"Novon 9(3): 365"	"1999"
"Clusiaceae"	""	"Chrysochlamys membranacea"	"Planch. & Triana"	"Ann. Sci. Nat., Bot., sér. 4, 14: 260"	"1860"
"Clusiaceae"	""	"Chrysochlamys membrillensis"	"(D'Arcy) Hammel"	"Novon 9(3): 366"	"1999"
"Clusiaceae"	""	"Chrysochlamys nicaraguensis"	"(Oerst., Planch. & Triana) Hemsl."	"Biol. Cent.-Amer., Bot. 1(1): 87"	"1879"
"Clusiaceae"	""	"Chrysochlamys psychotriifolia"	"(Oerst., Planch. & Triana) Hemsl."	"Biol. Cent.-Amer., Bot. 1(1): 87"	"1879"
"Clusiaceae"	""	"Chrysochlamys silvicola"	"(Hammel) Hammel"	"Novon 9(3): 368"	"1999"
"Clusiaceae"	""	"Chrysochlamys skutchii"	"Hammel"	"Novon 9(3): 369, f. 1"	"1999"
"Clusiaceae"	""	"Chrysochlamys tenuifolia"	"Cuatrec."	"Revista Acad. Colomb. Ci. Exact. 8: 59"	"1950"
"Clusiaceae"	""	"Chrysochlamys tenuis"	"Hammel"	"Novon 9(3): 371, f. 2"	"1999"
"Clusiaceae"	""	"Chrysochlamys weberbaueri"	"Engl."	"Bot. Jahrb. Syst. 58(4, Beibl. 130): 8–9"	"1923"
"Sapotaceae"	""	"Chrysophyllum"	"L."	"Sp. Pl. 1: 192"	"1753"
"Sapotaceae"	""	"Chrysophyllum argenteum"	"Jacq."	"Enum. Syst. Pl. 15"	"1760"
"Sapotaceae"	""	"Chrysophyllum brenesii"	"Cronquist"	"Bull. Torrey Bot. Club 72(2): 196"	"1945"
"Sapotaceae"	"!"	"Chrysophyllum cainito"	"L."	"Sp. Pl. 1: 192"	"1753"
"Sapotaceae"	""	"Chrysophyllum colombianum"	"(Aubrév.) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 596"	"1990"
"Sapotaceae"	""	"Chrysophyllum hirsutum"	"Cronquist"	"Bull. Torrey Bot. Club 72(2): 198–199"	"1945"
"Sapotaceae"	""	"Chrysophyllum lucentifolium"	"Cronquist"	"Bull. Torrey Bot. Club 73(3): 304"	"1946"
"Sapotaceae"	""	"Chrysophyllum mexicanum"	"Brandegee ex Standl."	"Contr. U.S. Natl. Herb. 23(4): 1114"	"1924"
"Sapotaceae"	""	"Chrysophyllum prieurii"	"A. DC."	"Prodr. 8: 161"	"1844"
"Sapotaceae"	""	"Chrysophyllum striatum"	"T.D. Penn."	"Fl. Neotrop. Monogr. 52: 573–574, f. 132A–C"	"1990"
"Sapotaceae"	""	"Chrysophyllum venezuelanense"	"(Pierre) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 607–610, f. 141A–D, 142"	"1990"
"Gesneriaceae"	""	"Chrysothemis friedrichsthaliana"	"(Hanst.) H.E. Moore"	"Baileya 2(3): 87"	"1954"
"Gesneriaceae"	""	"Chrysothemis pulchella"	"(Donn ex Sims) Decne."	"Rev. Hort. (Paris), sér. 3, 3: 242"	"1849"
"Poaceae"	""	"Chusquea"	"Kunth"	"J. Phys. Chim. Hist. Nat. Arts 95: 151"	"1822"
"Poaceae"	""	"Chusquea amistadensis"	"L.G. Clark, Davidse & R.P. Ellis"	"Natl. Geogr. Res. 5(4): 462, f. 1, 2Aa, 3–4, 5Bottom, 6C, 7C, 8C"	"1989"
"Poaceae"	""	"Chusquea costaricensis"	"L.G. Clark & R.H. March"	"Bamboo Sci. Cult. 14(1): 6–9, f. 1"	"2000"
"Poaceae"	""	"Chusquea foliosa"	"L.G. Clark"	"Iowa State J. Res. 61(1): 115, f. 4a–e"	"1986"
"Poaceae"	""	"Chusquea grandiflora"	"L.G. Clark"	"Ann. Missouri Bot. Gard. 74(2): 424–426, f. 1A–D"	"1987"
"Poaceae"	""	"Chusquea lanceolata"	"Hitchc."	"Phytologia 1(4): 145–146"	"1935"
"Poaceae"	""	"Chusquea longifolia"	"Swallen"	"J. Wash. Acad. Sci. 30(5): 210"	"1940"
"Poaceae"	""	"Chusquea magnifolia"	"L.G. Clark"	"Syst. Bot. 34: 681"	"2009"
"Poaceae"	""	"Chusquea patens"	"L.G. Clark"	"Iowa State J. Res. 61(1): 119, f. 5"	"1986"
"Poaceae"	""	"Chusquea pittieri"	"Hack."	"Oesterr. Bot. Z. 53(4): 153"	"1903"
"Poaceae"	""	"Chusquea pohlii"	"L.G. Clark"	"Ann. Missouri Bot. Gard. 72(4): 867–868, f. 2B–F"	"1985"
"Poaceae"	""	"Chusquea scabra"	"Soderstr. & C.E. Calderón"	"Brittonia 30(3): 300–302, f. 2"	"1978"
"Poaceae"	""	"Chusquea serpens"	"L.G. Clark"	"Ann. Missouri Bot. Gard. 72(4): 870–873, f. 4"	"1985"
"Poaceae"	"!"	"Chusquea simpliciflora"	"Munro"	"Trans. Linn. Soc. London 26(1): 54, t. 2"	"1868"
"Poaceae"	""	"Chusquea subtessellata"	"Hitchc."	"Proc. Biol. Soc. Washington 40: 81"	"1927"
"Poaceae"	""	"Chusquea sulcata"	"Swallen"	"J. Wash. Acad. Sci. 30(5): 209"	"1940"
"Poaceae"	""	"Chusquea tonduzii"	"Hack."	"Oesterr. Bot. Z. 53(4): 155"	"1903"
