Family	!	Scientific Name	Author	Reference	Date
"Asteraceae"	""	"Adenocaulon bicolor"	"Hook."	"Bot. Misc. 1(1): 19–20, pl. 15"	"1829"
"Pteridaceae"	"!"	"Adiantum"	"L."	"Sp. Pl. 2: 1094"	"1753"
"Pteridaceae"	""	"Adiantum aleuticum"	"(Rupr.) C.A. Paris"	"Rhodora 93(874): 112"	"1991"
"Pteridaceae"	"!"	"Adiantum capillus-veneris"	"L."	"Sp. Pl. 2: 1096"	"1753"
"Pteridaceae"	"!"	"Adiantum pedatum"	"L."	"Sp. Pl. 2: 1095"	"1753"
"Pteridaceae"	""	"Adiantum pedatum subsp. calderi"	"Cody"	"Rhodora 85(841): 93–96, f. 1"	"1983"
"Papaveraceae"	""	"Adlumia fungosa"	"(Aiton) Greene ex Britton, Sterns & Poggenb."	"Prelim. Cat. 3"	"1888"
"Ranunculaceae"	""	"Adonis annua"	"L."	"Sp. Pl. 1: 547"	"1753"
"Ranunculaceae"	""	"Adonis vernalis"	"L."	"Sp. Pl. 1: 547–548"	"1753"
"Viburnaceae"	"!"	"Adoxa moschatellina"	"L."	"Sp. Pl. 1: 367"	"1753"
"Poaceae"	"!!"	"Aegilops"	"L."	"Sp. Pl. 2: 1050"	"1753"
"Poaceae"	"!"	"Aegilops cylindrica"	"Host"	"Icon. Descr. Gram. Austriac. 2: 6, pl. 7"	"1802"
"Apiaceae"	""	"Aegopodium podagraria"	"L."	"Sp. Pl. 1: 265"	"1753"
"Sapindaceae"	"!"	"Aesculus hippocastanum"	"L."	"Sp. Pl. 1: 344"	"1753"
"Apiaceae"	""	"Aethusa cynapium"	"L."	"Sp. Pl. 1: 256"	"1753"
"Orobanchaceae"	""	"Agalinis aspera"	"(Douglas ex Benth.) Britton"	"Ill. Fl. N. U.S. (ed. 2) 3: 209"	"1913"
"Orobanchaceae"	""	"Agalinis gattingeri"	"(Small) Small"	"Ill. Fl. N. U.S. (ed. 2) 3: 213"	"1913"
"Orobanchaceae"	""	"Agalinis maritima"	"(Raf.) Raf."	"New Fl. 2: 62"	"1836 [1837]"
"Orobanchaceae"	""	"Agalinis neoscotica"	"(Greene) Fernald"	"Rhodora 23(270): 139"	"1921"
"Orobanchaceae"	""	"Agalinis purpurea"	"(L.) Pennell"	"Bull. Torrey Bot. Club 40(3): 126"	"1913"
"Orobanchaceae"	""	"Agalinis skinneriana"	"(Alph. Wood) Britton"	"Ill. Fl. N. U.S. (ed. 2) 3: 212"	"1913"
"Orobanchaceae"	""	"Agalinis tenuifolia var. parviflora"	"(Nutt.) Pennell"	"Proc. Acad. Nat. Sci. Philadelphia 73(3C): 525"	"1921 [1922]"
"Lamiaceae"	""	"Agastache foeniculum"	"(Pursh) Kuntze"	"Revis. Gen. Pl. 2: 511"	"1891"
"Lamiaceae"	""	"Agastache nepetoides"	"(L.) Kuntze"	"Revis. Gen. Pl. 2: 511"	"1891"
"Lamiaceae"	""	"Agastache scrophulariifolia"	"(Willd.) Kuntze"	"Revis. Gen. Pl. 2: 511"	"1891"
"Lamiaceae"	""	"Agastache scrophulariifolia var. scrophulariifolia"	""	""	""
"Lamiaceae"	""	"Agastache urticifolia"	"(Benth.) Kuntze"	"Revis. Gen. Pl. 2: 511"	"1891"
"Asteraceae"	""	"Ageratina altissima var. altissima"	""	" "	""
"Asteraceae"	""	"Agoseris aurantiaca"	"(Hook.) Greene"	"Pittonia 2(10B): 177"	"1891"
"Asteraceae"	""	"Agoseris gaspensis"	"Fernald"	"Rhodora 26(306): 125"	"1924"
"Asteraceae"	""	"Agoseris glauca"	"(Pursh) Raf."	"Herb. Raf. 39"	"1833"
"Asteraceae"	""	"Agoseris grandiflora"	"(Nutt.) Greene"	"Pittonia 2(10B): 178"	"1891"
"Asteraceae"	""	"Agoseris heterophylla"	"(Nutt.) Greene"	"Pittonia 2(10B): 178"	"1891"
