Family	!	Scientific Name	Author	Reference	Date
"Orchidaceae"	""	"Phragmipedium humboldtii"	"(Warsz.) J.T. Atwood & Dressler"	"Selbyana 19(2): 246"	"1998 [1999]"
"Orchidaceae"	""	"Phragmipedium longifolium"	"(Warsz. & Rchb. f.) Rolfe"	"Orchid Rev. 4(47): 332"	"1896"
"Orchidaceae"	""	"Phragmipedium × talamancanum"	"Pupulin & M. Díaz"	"Phytotaxa 382(2): 177–179, f. 7A–I, 8, 9, 10A–D"	"2018"
"Orchidaceae"	""	"Phragmipedium warscewiczii"	"(Rchb. f.) Christenson"	"J. Orchideenfreund 13: 142"	"2006"
"Orchidaceae"	"**"	"Phragmipedium warszewiczianum"	"(Rchb. f.) Garay"	"Orchid Digest 43(4): 140"	"1979"
"Poaceae"	""	"Phragmites"	"Adans."	"Fam. Pl. 2: 34, 559"	"1763"
"Poaceae"	""	"Phragmites australis"	"(Cav.) Trin. ex Steud."	"Nomencl. Bot. (ed. 2) 1: 143"	"1840"
"Loranthaceae"	""	"Phthirusa"	"Mart."	"Flora 13(1): 110"	"1830"
"Loranthaceae"	""	"Phthirusa retroflexa"	"(Ruiz & Pav.) Kuijt"	"Brittonia 32(4): 521"	"1980"
"Verbenaceae"	""	"Phyla"	"Lour."	"Fl. Cochinch. 1: 63, 66"	"1790"
"Verbenaceae"	""	"Phyla betulifolia"	"(Kunth) Greene"	"Pittonia 4(20E): 48"	"1899"
"Verbenaceae"	""	"Phyla fruticosa"	"(Mill.) K. Kenn. ex Wunderlin & B.F. Hansen"	"Bot. Explor. 3: 38"	"2003"
"Verbenaceae"	""	"Phyla nodiflora"	"(L.) Greene"	"Pittonia 4(20E): 46"	"1899"
"Phyllanthaceae"	""	"Phyllanthus"	"L."	"Sp. Pl. 2: 981"	"1753"
"Phyllanthaceae"	""	"Phyllanthus acuminatus"	"Vahl"	"Symb. Bot. 2: 95"	"1791"
"Phyllanthaceae"	""	"Phyllanthus anisolobus"	"Müll. Arg."	"Prodr. 15(2): 382"	"1866"
"Phyllanthaceae"	""	"Phyllanthus caribaeus"	"Urb."	"Symb. Antill. 5: 382"	"1908"
"Phyllanthaceae"	"!"	"Phyllanthus caroliniensis"	"Walter"	"Fl. Carol. 228"	"1788"
"Phyllanthaceae"	""	"Phyllanthus graveolens"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 2: 112"	"1817"
"Phyllanthaceae"	""	"Phyllanthus hyssopifolioides"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 2: 108"	"1817"
"Phyllanthaceae"	""	"Phyllanthus mocinianus"	"Baill."	"Adansonia 1: 35"	"1860"
"Phyllanthaceae"	"!"	"Phyllanthus niruri"	"L."	"Sp. Pl. 2: 981–982"	"1753"
"Phyllanthaceae"	""	"Phyllanthus salviifolius"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 2: 116, pl. 107–108"	"1817"
"Phyllanthaceae"	""	"Phyllanthus skutchii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 22(5): 346"	"1940"
"Phyllanthaceae"	""	"Phyllanthus stipulatus"	"(Raf.) G.L. Webster"	"Contr. Gray Herb. 176: 53"	"1955"
"Phyllanthaceae"	""	"Phyllanthus valerii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(2): 619"	"1937"
"Phyllonomaceae"	""	"Phyllonoma"	"Willd. ex Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 6: xx, 210"	"1820"
"Phyllonomaceae"	""	"Phyllonoma laticuspis"	"(Turcz.) Engl."	"Nat. Pflanzenfam. 3(2a): 87"	"1891"
"Phyllonomaceae"	""	"Phyllonoma ruscifolia"	"Willd. ex Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 6: 210"	"1820"
"Phyllonomaceae"	""	"Phyllonoma tenuidens"	"Pittier"	"Contr. U.S. Natl. Herb. 12(5): 172, f. 11"	"1909"
"Ulmaceae"	""	"Phyllostylon rhamnoides"	"(J. Poiss.) Taub."	"Oesterr. Bot. Z. 40(11): 409–410"	"1890"
"Solanaceae"	"!!"	"Physalis"	"L."	"Sp. Pl. 1: 182"	"1753"
"Solanaceae"	""	"Physalis angulata"	"L."	"Sp. Pl. 1: 183"	"1753"
"Solanaceae"	""	"Physalis cordata"	"Mill."	"Gard. Dict. (ed. 8) no. 14"	"1768"
"Solanaceae"	"!"	"Physalis glabra"	"Benth."	"Bot. Voy. Sulphur 39"	"1844"
"Solanaceae"	""	"Physalis gracilis"	"Miers"	"Ann. Mag. Nat. Hist., ser. 2, 4: 37"	"1849"
"Solanaceae"	""	"Physalis ignota"	"Britton"	"Mem. Torrey Bot. Club 16(2): 100–101"	"1920"
"Solanaceae"	""	"Physalis ixocarpa"	"Brot. ex Hornem."	"Hort. Bot. Hafn. 26"	"1819"
"Solanaceae"	""	"Physalis lagascae"	"Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 4: 679"	"1819"
"Solanaceae"	""	"Physalis melanocystis"	"(B.L. Rob.) Bitter"	"Repert. Spec. Nov. Regni Veg. 20: 369"	"1924"
"Solanaceae"	""	"Physalis minuta"	"Griggs"	"Torreya 3(9): 138–139"	"1903"
"Solanaceae"	""	"Physalis nicandroides"	"Schltdl."	"Linnaea 19: 311"	"1847 [1846]"
"Solanaceae"	""	"Physalis peruviana"	"L."	"Sp. Pl. (ed. 2) 2: 1670–1671"	"1763"
"Solanaceae"	""	"Physalis philadelphica"	"Lam."	"Encycl. 2(1): 101"	"1786"
"Solanaceae"	""	"Physalis porrecta"	"Waterf."	"Rhodora 69(778): 237–238"	"1967"
"Solanaceae"	""	"Physalis pruinosa"	"L."	"Sp. Pl. 1: 184"	"1753"
"Solanaceae"	""	"Physalis pubescens"	"L."	"Sp. Pl. 1: 183"	"1753"
"Solanaceae"	"!"	"Physalis solanacea"	"(Schltdl.) Axelius"	"Phytologia 79(1): 11"	"1995"
"Orchidaceae"	""	"Physosiphon cooperi"	"Ames"	"Sched. Orch. 1: 2–3"	"1922"
"Orchidaceae"	""	"Physosiphon deregularis"	"(Barb. Rodr.) Cogn."	"Fl. Bras. 3(4): 341–342"	"1896"
"Orchidaceae"	""	"Physosiphon minor"	"Rendle"	"J. Bot. 38(451): 275"	"1900"
"Cleomaceae"	""	"Physostemon guianense"	"(Aubl.) Malme"	"Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24(afd. 3, no. 6): 26"	"1898"
"Orchidaceae"	""	"Physurus claviger"	"Rchb. f."	"Bonplandia (Hannover) 4(14): 211–212"	"1856"
"Phytolaccaceae"	"!"	"Phytolacca"	"L."	"Sp. Pl. 1: 441"	"1753"
"Phytolaccaceae"	"!"	"Phytolacca icosandra"	"L."	"Syst. Nat. (ed. 10) 2: 1040"	"1759"
"Phytolaccaceae"	""	"Phytolacca meziana"	"H. Walter"	"Pflanzenr. IV. 83(Heft 39): 57"	"1909"
"Phytolaccaceae"	""	"Phytolacca rivinoides"	"Kunth & C.D. Bouché"	"Index Sem. (Berlin) 1848: 15–16"	"1849"
"Phytolaccaceae"	""	"Phytolacca rugosa"	"A. Braun & C.D. Bouché"	"Index Sem. (Berlin) 1851: 13"	"1852"
"Phytolaccaceae"	""	"Phytolacca thyrsiflora"	"Fenzl ex J.A. Schmidt"	"Fl. Bras. 14(2): 343, t. 80"	"1872"
"Picramniaceae"	"!!"	"Picramnia"	"Sw."	"Prodr. 2, 27"	"1788"
"Picramniaceae"	""	"Picramnia antidesma"	"Sw."	"Prodr. 27"	"1788"
"Picramniaceae"	""	"Picramnia gracilis"	"Tul."	"Ann. Sci. Nat., Bot., sér. 3, 7: 260–261"	"1847"
"Picramniaceae"	""	"Picramnia latifolia"	"Tul."	"Ann. Sci. Nat., Bot., sér. 3, 7: 258–259"	"1847"
"Picramniaceae"	""	"Picramnia quaternaria"	"Donn. Sm."	"Bot. Gaz. 20(1): 3"	"1895"
"Picramniaceae"	""	"Picramnia sphaerocarpa"	"Planch."	"London J. Bot. 5: 578"	"1846"
"Picramniaceae"	""	"Picramnia teapensis"	"Tul."	"Ann. Sci. Nat., Bot., sér. 3, 7: 265"	"1847"
"Simaroubaceae"	""	"Picrasma"	"Blume"	"Bijdr. Fl. Ned. Ind. 247"	"1825"
"Simaroubaceae"	""	"Picrasma excelsa"	"(Sw.) Planch."	"London J. Bot. 5: 574"	"1846"
"Urticaceae"	"!!"	"Pilea"	"Lindl."	"Coll. Bot. sub t. 4"	"1821"
"Urticaceae"	"!"	"Pilea acuminata"	"Liebm."	"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd., ser. 5, 2: 302"	"1851"
"Urticaceae"	""	"Pilea alfaroana"	"Al. Rodr. & A.K. Monro"	"J. Bot. Res. Inst. Texas 2(2): 995–997, f. 1"	"2008"
"Urticaceae"	""	"Pilea angustifolia"	"Killip"	"J. Wash. Acad. Sci. 15(13): 295"	"1925"
"Urticaceae"	""	"Pilea auriculata"	"Liebm."	"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd., ser. 5, 2: 299"	"1851"
"Urticaceae"	"!"	"Pilea centradenioides"	"Seem."	"Bot. Voy. Herald (5): 194"	"1854"
